Kreisnummer;Kreisname;Siedlungsfläche
7336000;Kusel;12,84
7337000;Südliche Weinstraße;12,86
7338000;Rhein-Pfalz-Kreis;22,69
7339000;Mainz-Bingen;18,83
7340000;Südwestpfalz;10,51
8111000;Stuttgart, Stadtkreis;51,77
8115000;Böblingen;23,21
8116000;Esslingen;25,06
8117000;Göppingen;16,88
8118000;Ludwigsburg;25,15
8119000;Rems-Murr-Kreis;18,09
8121000;Heilbronn, Stadtkreis;36,26
8125000;Heilbronn;17,96
8126000;Hohenlohekreis;13,67
8127000;Schwäbisch Hall;12,16
8128000;Main-Tauber-Kreis;11,07
8135000;Heidenheim;13,14
8136000;Ostalbkreis;13,37
8211000;Baden-Baden, Stadtkreis;14,88
8212000;Karlsruhe, Stadtkreis;46,8
8215000;Karlsruhe;18,59
8216000;Rastatt;14,54
8221000;Heidelberg, Stadtkreis;30,58
8222000;Mannheim, Stadtkreis;58,18
8225000;Neckar-Odenwald-Kreis;11,07
8226000;Rhein-Neckar-Kreis;20,19
8231000;Pforzheim, Stadtkreis;32,48
8235000;Calw;11,63
8236000;Enzkreis;16,57
8237000;Freudenstadt;9,98
8311000;Freiburg im Breisgau, Stadtkreis;32,29
8315000;Breisgau-Hochschwarzwald;10,79
8316000;Emmendingen;11,48
8317000;Ortenaukreis;12,2
8325000;Rottweil;13,35
8326000;Schwarzwald-Baar-Kreis;11,84
8327000;Tuttlingen;12,18
8335000;Konstanz;15,96
8336000;Lörrach;13,1
8337000;Waldshut;10,54
8415000;Reutlingen;13,48
8416000;Tübingen;18,44
8417000;Zollernalbkreis;13,85
8421000;Ulm, Stadtkreis;33,54
8425000;Alb-Donau-Kreis;12,1
8426000;Biberach;12,27
8435000;Bodenseekreis;15,25
8436000;Ravensburg;11,02
8437000;Sigmaringen;10,31
9161000;Ingolstadt;37,02
9162000;München, Landeshauptstadt;75,37
9163000;Rosenheim;41,91
9171000;Altötting;13,76
9172000;Berchtesgadener Land;7,24
9173000;Bad Tölz-Wolfratshausen;6,82
9174000;Dachau;13,74
9175000;Ebersberg;12,72
9176000;Eichstätt;10,01
9177000;Erding;12,86
9178000;Freising;14,02
9179000;Fürstenfeldbruck;18,94
9180000;Garmisch-Partenkirchen;5,42
9181000;Landsberg am Lech;11,37
9182000;Miesbach;7,79
9183000;Mühldorf a.Inn;11,23
9184000;München;20,94
9185000;Neuburg-Schrobenhausen;12,12
9186000;Pfaffenhofen a.d.Ilm;14,1
9187000;Rosenheim;11,46
9188000;Starnberg;14,97
9189000;Traunstein;8,81
9190000;Weilheim-Schongau;9,63
9261000;Landshut;34,09
9262000;Passau;32,72
9263000;Straubing;30,39
9271000;Deggendorf;12,53
